,model,kernel,C,gamma,accuracy
0,SVM,rbf,0.001,scale,0.477298222560343
1,SVM,rbf,0.001,auto,0.477298222560343
2,SVM,rbf,0.001,0.1,0.477298222560343
3,SVM,rbf,0.001,0.5,0.477298222560343
4,SVM,rbf,0.001,1,0.477298222560343
5,SVM,rbf,0.001,5,0.477298222560343
6,SVM,rbf,0.001,10,0.477298222560343
7,SVM,rbf,0.01,scale,0.11461753924891072
8,SVM,rbf,0.01,auto,0.477298222560343
9,SVM,rbf,0.01,0.1,0.477298222560343
10,SVM,rbf,0.01,0.5,0.477298222560343
11,SVM,rbf,0.01,1,0.477298222560343
12,SVM,rbf,0.01,5,0.27729822256034303
13,SVM,rbf,0.01,10,0.27729822256034303
14,SVM,rbf,0.1,scale,0.09779756553011965
15,SVM,rbf,0.1,auto,0.477298222560343
16,SVM,rbf,0.1,0.1,0.477298222560343
17,SVM,rbf,0.1,0.5,0.477298222560343
18,SVM,rbf,0.1,1,0.27729822256034303
19,SVM,rbf,0.1,5,0.16376339995850336
20,SVM,rbf,0.1,10,0.1217134656615257
21,SVM,rbf,1000.0,scale,0.5814392419946055
22,SVM,rbf,1000.0,auto,0.24051525001729024
23,SVM,rbf,1000.0,0.1,0.30782073449062863
24,SVM,rbf,1000.0,0.5,0.37328411370080916
25,SVM,rbf,1000.0,1,0.3822245660142472
26,SVM,rbf,1000.0,5,0.4150753855729995
27,SVM,rbf,1000.0,10,0.61954630334048
